ISO3_code,Name of Indicator,Year,IndicatorType,Sub indicator,Ranking,Score,Sub-componentValue,Organization
ALB,World Governance Indicator,2023,Sub_components,Government Effectiveness,,,0.250855356,World Bank
ALB,World Governance Indicator,2023,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.183348969,World Bank
ALB,World Governance Indicator,2023,Sub_components,Regulatory Quality,,,0.171953663,World Bank
ALB,World Governance Indicator,2023,Sub_components,Rule of Law,,,-0.164097369,World Bank
ALB,World Governance Indicator,2023,Sub_components,Voice and Accountability,,,0.168997228,World Bank
ARE,Chandler Good Government Index,2021,Ranking,,517/600,,,Chandler Institute of Governance
ARE,Chandler Good Government Index,2022,Ranking,,442/600,,,Chandler Institute of Governance
ARE,Chandler Good Government Index,2023,Ranking,,462/600,,,Chandler Institute of Governance
ARE,Chandler Good Government Index,2024,Ranking,,492/600,,,Chandler Institute of Governance
ARE,Chandler Good Government Index,2025,Ranking,,517/600,,,Chandler Institute of Governance
ARE,Corruption Perception Index (CPI),2016,Ranking,,24/176,,,Transparency International
ARE,Corruption Perception Index (CPI),2017,Ranking,,21/180,,,Transparency International
ARE,Corruption Perception Index (CPI),2018,Ranking,,23/180,,,Transparency International
ARE,Corruption Perception Index (CPI),2019,Ranking,,21/180,,,Transparency International
ARE,Corruption Perception Index (CPI),2020,Ranking,,21/179,,,Transparency International
ARE,Corruption Perception Index (CPI),2022,Ranking,,27/180,,,Transparency International
ARE,Corruption Perception Index (CPI),2023,Ranking,,26/180,,,Transparency International
ARE,Corruption Perception Index (CPI),2024,Ranking,,23/180,,,Transparency International
ARE,World Governance Indicator,1996,Sub_components,Control of Corruption,,,-0.005579059,World Bank
ARE,World Governance Indicator,1996,Sub_components,Government Effectiveness,,,0.77663964,World Bank
ARE,World Governance Indicator,1996,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.964015007,World Bank
ARE,World Governance Indicator,1996,Sub_components,Regulatory Quality,,,0.694305301,World Bank
ARE,World Governance Indicator,1996,Sub_components,Rule of Law,,,0.688413978,World Bank
ARE,World Governance Indicator,1996,Sub_components,Voice and Accountability,,,-0.409403622,World Bank
ARE,World Governance Indicator,1998,Sub_components,Control of Corruption,,,0.033033475,World Bank
ARE,World Governance Indicator,1998,Sub_components,Government Effectiveness,,,0.752557337,World Bank
ARE,World Governance Indicator,1998,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.87130928,World Bank
ARE,World Governance Indicator,1998,Sub_components,Regulatory Quality,,,0.583496213,World Bank
ARE,World Governance Indicator,1998,Sub_components,Rule of Law,,,0.716092944,World Bank
ARE,World Governance Indicator,1998,Sub_components,Voice and Accountability,,,-0.519163191,World Bank
ARE,World Governance Indicator,2000,Sub_components,Control of Corruption,,,0.103345223,World Bank
ARE,World Governance Indicator,2000,Sub_components,Government Effectiveness,,,0.747685492,World Bank
ARE,World Governance Indicator,2000,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.975434422,World Bank
ARE,World Governance Indicator,2000,Sub_components,Regulatory Quality,,,0.689028561,World Bank
ARE,World Governance Indicator,2000,Sub_components,Rule of Law,,,0.655752897,World Bank
ARE,World Governance Indicator,2000,Sub_components,Voice and Accountability,,,-0.516841352,World Bank
ARE,World Governance Indicator,2002,Sub_components,Control of Corruption,,,1.111619234,World Bank
ARE,World Governance Indicator,2002,Sub_components,Government Effectiveness,,,0.796371579,World Bank
ARE,World Governance Indicator,2002,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.937275112,World Bank
ARE,World Governance Indicator,2002,Sub_components,Regulatory Quality,,,1.078349113,World Bank
ARE,World Governance Indicator,2002,Sub_components,Rule of Law,,,0.702703297,World Bank
ARE,World Governance Indicator,2002,Sub_components,Voice and Accountability,,,-0.631543517,World Bank
ARE,World Governance Indicator,2003,Sub_components,Control of Corruption,,,0.826036751,World Bank
ARE,World Governance Indicator,2003,Sub_components,Government Effectiveness,,,0.537254989,World Bank
ARE,World Governance Indicator,2003,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.994650185,World Bank
ARE,World Governance Indicator,2003,Sub_components,Regulatory Quality,,,0.638878942,World Bank
ARE,World Governance Indicator,2003,Sub_components,Rule of Law,,,0.544806302,World Bank
ARE,World Governance Indicator,2003,Sub_components,Voice and Accountability,,,-0.912192345,World Bank
ARE,World Governance Indicator,2004,Sub_components,Control of Corruption,,,1.039477348,World Bank
ARE,World Governance Indicator,2004,Sub_components,Government Effectiveness,,,0.687684059,World Bank
ARE,World Governance Indicator,2004,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.768757999,World Bank
ARE,World Governance Indicator,2004,Sub_components,Regulatory Quality,,,0.792539001,World Bank
ARE,World Governance Indicator,2004,Sub_components,Rule of Law,,,0.433262318,World Bank
ARE,World Governance Indicator,2004,Sub_components,Voice and Accountability,,,-0.687912881,World Bank
ARE,World Governance Indicator,2005,Sub_components,Control of Corruption,,,0.990808547,World Bank
ARE,World Governance Indicator,2005,Sub_components,Government Effectiveness,,,0.716674387,World Bank
ARE,World Governance Indicator,2005,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.875413299,World Bank
ARE,World Governance Indicator,2005,Sub_components,Regulatory Quality,,,0.651603818,World Bank
ARE,World Governance Indicator,2005,Sub_components,Rule of Law,,,0.389575779,World Bank
ARE,World Governance Indicator,2005,Sub_components,Voice and Accountability,,,-0.708473206,World Bank
ARE,World Governance Indicator,2006,Sub_components,Control of Corruption,,,0.885872543,World Bank
ARE,World Governance Indicator,2006,Sub_components,Government Effectiveness,,,0.945923328,World Bank
ARE,World Governance Indicator,2006,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.923421085,World Bank
ARE,World Governance Indicator,2006,Sub_components,Regulatory Quality,,,0.624527931,World Bank
ARE,World Governance Indicator,2006,Sub_components,Rule of Law,,,0.311535925,World Bank
ARE,World Governance Indicator,2006,Sub_components,Voice and Accountability,,,-0.999829352,World Bank
ARE,World Governance Indicator,2007,Sub_components,Control of Corruption,,,1.00609827,World Bank
ARE,World Governance Indicator,2007,Sub_components,Government Effectiveness,,,0.943043947,World Bank
ARE,World Governance Indicator,2007,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.975391388,World Bank
ARE,World Governance Indicator,2007,Sub_components,Regulatory Quality,,,0.60901165,World Bank
ARE,World Governance Indicator,2007,Sub_components,Rule of Law,,,0.274766088,World Bank
ARE,World Governance Indicator,2007,Sub_components,Voice and Accountability,,,-0.906883299,World Bank
ARE,World Governance Indicator,2008,Sub_components,Control of Corruption,,,1.071450472,World Bank
ARE,World Governance Indicator,2008,Sub_components,Government Effectiveness,,,0.898490906,World Bank
ARE,World Governance Indicator,2008,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.696017921,World Bank
ARE,World Governance Indicator,2008,Sub_components,Regulatory Quality,,,0.567518592,World Bank
ARE,World Governance Indicator,2008,Sub_components,Rule of Law,,,0.417219996,World Bank
ARE,World Governance Indicator,2008,Sub_components,Voice and Accountability,,,-0.91238147,World Bank
ARE,World Governance Indicator,2009,Sub_components,Control of Corruption,,,0.906304717,World Bank
ARE,World Governance Indicator,2009,Sub_components,Government Effectiveness,,,1.009200454,World Bank
ARE,World Governance Indicator,2009,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.919041455,World Bank
ARE,World Governance Indicator,2009,Sub_components,Regulatory Quality,,,0.443285644,World Bank
ARE,World Governance Indicator,2009,Sub_components,Rule of Law,,,0.39927873,World Bank
ARE,World Governance Indicator,2009,Sub_components,Voice and Accountability,,,-0.83836776,World Bank
ARE,World Governance Indicator,2010,Sub_components,Control of Corruption,,,0.890833914,World Bank
ARE,World Governance Indicator,2010,Sub_components,Government Effectiveness,,,0.918635428,World Bank
ARE,World Governance Indicator,2010,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.801757872,World Bank
ARE,World Governance Indicator,2010,Sub_components,Regulatory Quality,,,0.318565339,World Bank
ARE,World Governance Indicator,2010,Sub_components,Rule of Law,,,0.317414135,World Bank
ARE,World Governance Indicator,2010,Sub_components,Voice and Accountability,,,-0.903547347,World Bank
ARE,World Governance Indicator,2011,Sub_components,Control of Corruption,,,1.070487618,World Bank
ARE,World Governance Indicator,2011,Sub_components,Government Effectiveness,,,1.0707618,World Bank
ARE,World Governance Indicator,2011,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.912175715,World Bank
ARE,World Governance Indicator,2011,Sub_components,Regulatory Quality,,,0.445208371,World Bank
ARE,World Governance Indicator,2011,Sub_components,Rule of Law,,,0.498547107,World Bank
ARE,World Governance Indicator,2011,Sub_components,Voice and Accountability,,,-0.896244109,World Bank
ARE,World Governance Indicator,2012,Sub_components,Control of Corruption,,,1.155736208,World Bank
ARE,World Governance Indicator,2012,Sub_components,Government Effectiveness,,,1.162823677,World Bank
ARE,World Governance Indicator,2012,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.863251448,World Bank
ARE,World Governance Indicator,2012,Sub_components,Regulatory Quality,,,0.670992136,World Bank
ARE,World Governance Indicator,2012,Sub_components,Rule of Law,,,0.534359634,World Bank
ARE,World Governance Indicator,2012,Sub_components,Voice and Accountability,,,-1.000819206,World Bank
ARE,World Governance Indicator,2013,Sub_components,Control of Corruption,,,1.273542762,World Bank
ARE,World Governance Indicator,2013,Sub_components,Government Effectiveness,,,1.19010067,World Bank
ARE,World Governance Indicator,2013,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.894792199,World Bank
ARE,World Governance Indicator,2013,Sub_components,Regulatory Quality,,,0.774973035,World Bank
ARE,World Governance Indicator,2013,Sub_components,Rule of Law,,,0.613428473,World Bank
ARE,World Governance Indicator,2013,Sub_components,Voice and Accountability,,,-1.019597054,World Bank
ARE,World Governance Indicator,2014,Sub_components,Control of Corruption,,,1.198809981,World Bank
ARE,World Governance Indicator,2014,Sub_components,Government Effectiveness,,,1.451582909,World Bank
ARE,World Governance Indicator,2014,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.768908918,World Bank
ARE,World Governance Indicator,2014,Sub_components,Regulatory Quality,,,0.987515152,World Bank
ARE,World Governance Indicator,2014,Sub_components,Rule of Law,,,0.651002467,World Bank
ARE,World Governance Indicator,2014,Sub_components,Voice and Accountability,,,-1.061466098,World Bank
ARE,World Governance Indicator,2015,Sub_components,Control of Corruption,,,1.03457427,World Bank
ARE,World Governance Indicator,2015,Sub_components,Government Effectiveness,,,1.500491738,World Bank
ARE,World Governance Indicator,2015,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.748049259,World Bank
ARE,World Governance Indicator,2015,Sub_components,Regulatory Quality,,,1.096596956,World Bank
ARE,World Governance Indicator,2015,Sub_components,Rule of Law,,,0.614161611,World Bank
ARE,World Governance Indicator,2015,Sub_components,Voice and Accountability,,,-1.112433314,World Bank
ARE,World Governance Indicator,2016,Sub_components,Control of Corruption,,,1.131677032,World Bank
ARE,World Governance Indicator,2016,Sub_components,Government Effectiveness,,,1.410187006,World Bank
ARE,World Governance Indicator,2016,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.549646139,World Bank
ARE,World Governance Indicator,2016,Sub_components,Regulatory Quality,,,0.95991838,World Bank
ARE,World Governance Indicator,2016,Sub_components,Rule of Law,,,0.819037974,World Bank
ARE,World Governance Indicator,2016,Sub_components,Voice and Accountability,,,-1.050076485,World Bank
ARE,World Governance Indicator,2017,Sub_components,Control of Corruption,,,1.095753789,World Bank
ARE,World Governance Indicator,2017,Sub_components,Government Effectiveness,,,1.408903241,World Bank
ARE,World Governance Indicator,2017,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.601949751,World Bank
ARE,World Governance Indicator,2017,Sub_components,Regulatory Quality,,,1.000954628,World Bank
ARE,World Governance Indicator,2017,Sub_components,Rule of Law,,,0.768334985,World Bank
ARE,World Governance Indicator,2017,Sub_components,Voice and Accountability,,,-1.096623778,World Bank
ARE,World Governance Indicator,2018,Sub_components,Control of Corruption,,,1.117051482,World Bank
ARE,World Governance Indicator,2018,Sub_components,Government Effectiveness,,,1.426339626,World Bank
ARE,World Governance Indicator,2018,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.689255595,World Bank
ARE,World Governance Indicator,2018,Sub_components,Regulatory Quality,,,0.91985476,World Bank
ARE,World Governance Indicator,2018,Sub_components,Rule of Law,,,0.774245143,World Bank
ARE,World Governance Indicator,2018,Sub_components,Voice and Accountability,,,-1.12266016,World Bank
ARE,World Governance Indicator,2019,Sub_components,Control of Corruption,,,1.072382092,World Bank
